col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 5447
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_2606 41.3478 39.7252 10.0651 7.4249 17.49 774.2237 10.323 0.39158 13.7585 34.2609 1.0 1.0 48.15 -4.122 0.1168 75.78 20.48 3.162 5.643 5.865 True
0_8964 29.8532 29.042 4.0518 3.198 7.2498000000000005 292.4294 39.392 0.97233 86.6914 125.003 0.9997 -0.8927 68.18 -26.62 -3.835 77.87 4.577 -4.431 7.243 7.447 True
0_9969 86.5743 26.6596 20.801 17.5136 38.3146 5753.3096 26.64 0.01305 0.0 0.0 1.0 1.0 2.085 -0.0 0.0 3.71 0.0 0.0 4.028 7.212 False
0_10679 29.023 17.5986 3.5891 5.2554 8.8445 5591.9478 13.017 0.60318 108.7364 26.3336 0.3079 0.9999 12.9 -6.925 -6.377 79.9 -3.886 4.879 7.433 11.41 True
0_12709 39.7808 13.4626 9.5208 4.7606 14.2814 626.3852 8.1057 0.37872 28.344 61.2868 0.9991 1.0 9.522 3.364 -0.6115 128.7 19.67 0.933 5.789 11.09 True
0_15402 59.9242 59.3213 16.014 15.5872 31.6012 123.2672 8.741 0.0019997 0.0 0.0 1.0 1.0 6.656 -0.0 0.0 6.555 -0.0129 0.0 4.611 4.643 True
0_15936 86.0764 80.0183 23.0695 20.0264 43.0959 1144.2673 19.402 0.01184 0.0 0.0 1.0 1.0 3.748 0.0 -0.0 4.022 -0.03917 0.0 4.022 4.117 True
0_18414 55.4181 54.9015 15.1625 14.6453 29.8078 91.3835 7.7378 0.031816 0.0 0.0 1.0 1.0 7.312 0.0 -0.0 7.415 -0.06322 -0.0 4.782 4.837 True
0_21148 86.9111 81.1675 23.0941 20.283 43.3771 1194.3519 19.709 0.0023029 0.0 0.0 1.0 1.0 3.715 -0.0 0.0 3.933 0.008508 -0.0 4.011 4.098 True
0_26347 119.5704 114.0438 28.2552 26.3343 54.5895 2818.9639 29.057 0.0068694 0.0 0.0 1.0 1.0 2.752 0.0 -0.0 2.819 0.01756 0.0 3.706 3.744 True
0_27996 29.8275 16.2555 5.6895 4.0765 9.766 120.6584 3.6673 0.21005 18.6036 94.3486 0.992 1.0 7.389 -2.709 -0.8192 219.0 -10.05 -2.02 7.226 11.94 True
0_28656 71.8978 71.6402 18.5068 18.3482 36.855 283.8853 12.159 0.024158 0.0 0.0 1.0 1.0 5.219 0.0 0.0 5.221 -0.05575 0.0 4.276 4.282 True
0_34676 59.7379 58.603 16.0695 15.3792 31.448700000000002 125.0467 8.7408 0.0027583 0.0 0.0 1.0 1.0 6.645 0.0 -0.0 6.626 -0.01791 0.0 4.616 4.661 True
0_36580 105.0017 32.9873 23.5065 20.1829 43.6894 5613.4604 29.224 0.011444 0.0 0.0 1.0 1.0 1.815 0.0 -0.0 3.287 -0.0 0.0 3.831 6.688 False
0_37769 37.9879 13.7733 9.8073 4.2182 14.025500000000001 53.1795 3.5718 0.14363 24.6573 94.3269 0.9694 0.9999 6.793 -2.752 -3.838 208.9 -13.6 5.125 5.971 11.42 True
0_49326 72.1206 68.7729 20.5111 18.1034 38.6145 326.8143 13.03 0.012638 0.0 0.0 1.0 1.0 4.895 0.0 0.0 5.139 0.05397 -0.0 4.264 4.384 True
0_64595 45.2689 44.227 10.783 9.5604 20.3434 87.7873 6.1599 0.2782 19.3376 7.4326 0.9999 1.0 47.55 -2.968 -7.294 65.15 -1.363 -2.011 5.344 5.425 True
