col.0: MtotZAMS/Msun  col.1:num mergers
430669009.9262963 92
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_101345 42.2496 39.615 7.2621 5.5471 12.8092 151.591 5.1921 0.33898 15.1737 47.4185 1.0 0.9989 122.9 -44.62 -0.8775 136.2 -3.389 20.24 5.397 5.974 True
0_188014 61.3285 29.8687 10.0998 4.045 14.1448 2229.1902 169.96 0.98451 13.3935 106.5946 0.9663 0.4921 2.738 -1.101 2.42 47.1 -9.716 -2.973 4.533 7.054 True
0_478258 37.1064 36.7282 14.0719 3.1705 17.2424 776.9595 779.8 0.9983 0.0 52.6247 1.0 0.9811 0.4864 0.0 -0.0 18.28 2.697 -0.07089 5.686 5.982 True
0_796945 42.5277 40.4581 7.3516 5.5769 12.9285 404.8567 6.7729 0.34984 25.7125 31.7497 0.9998 0.9994 168.5 13.09 -7.324 120.4 3.102 13.04 5.373 5.95 True
0_1265266 89.0929 88.4299 10.3996 10.1524 20.552 4594.4067 1532.8 0.99783 22.6147 23.5338 0.993 0.1745 -2.595 -5.697 5.07 12.88 -0.6438 0.811 4.07 4.08 True
0_1510237 54.0881 42.3257 4.3551 3.8007 8.1558 1329.9698 8.6517 0.60736 66.7426 60.9701 1.0 0.9997 249.2 8.833 2.124 155.5 -25.78 10.14 4.833 5.492 True
0_1571926 38.5808 38.5645 3.208 3.1959 6.4039 2711.2385 57.981 0.96808 68.6648 94.3577 0.9991 0.9318 53.98 19.75 -3.089 68.13 26.27 3.62 5.815 5.817 True
0_2150861 65.667 56.1115 10.7637 8.3707 19.1344 68.9476 5.2538 0.16726 1.7408 16.9889 1.0 1.0 108.4 1.755 0.1083 81.72 7.099 2.045 4.398 4.895 True
0_2278721 110.0671 68.8125 9.9923 7.6266 17.6189 94.0494 5.3826 0.17428 8.7419 26.213 1.0 0.9997 124.5 1.629 1.998 95.69 -3.149 9.728 3.881 4.395 True
0_3097889 51.9534 44.3285 6.7939 6.5108 13.3047 98.9323 4.5767 0.25624 36.0816 16.5799 0.9997 1.0 152.9 30.01 -6.181 122.4 -2.867 0.3331 4.855 5.395 True
0_3383974 94.4708 47.8476 22.6996 10.9034 33.603 272.9727 6930.1 0.99984 0.0 22.9666 1.0 -0.3199 0.1618 0.06175 -0.0 8.363 0.1463 0.08883 3.953 4.943 False
0_3537773 48.9932 39.1651 3.6645 3.2773 6.9418 12708.8535 24.139 0.82415 63.5809 87.1475 0.9999 0.9948 251.3 3.724 -5.246 128.9 71.12 -33.45 5.065 5.757 True
0_3630161 32.0672 16.3789 7.707 3.3311 11.0381 1213.8441 306.63 0.99534 30.1573 108.6896 0.9749 -0.2157 7.451 -6.078 1.819 59.06 21.38 -1.325 6.483 11.48 True
0_3909095 43.8975 34.1663 9.4256 4.4307 13.8563 3127.8625 170.52 0.98255 17.6347 113.7467 0.9208 -0.5685 2.7 2.118 -2.583 52.54 -7.929 3.195 5.279 6.539 True
1_409980 68.949 19.8585 17.0542 5.8623 22.916500000000003 7367.3535 2016.2 0.99811 0.0 45.2849 1.0 0.9996 0.4876 0.005616 -0.0 15.62 3.659 0.01266 4.328 9.003 False
1_749184 54.2809 42.429 4.3057 3.8205 8.1262 2016.8927 9.5587 0.60611 86.538 70.4802 0.999 0.9998 233.0 14.52 -13.68 178.0 -47.05 7.091 4.824 5.482 True
1_967599 50.9997 43.1331 6.2389 6.1367 12.3756 221.0717 6.0183 0.42813 26.222 61.342 1.0 0.999 183.1 -76.43 0.8807 102.2 -12.15 -22.37 4.901 5.457 True
1_1003462 97.8416 63.9432 9.0084 6.9661 15.974499999999999 150.1066 5.5689 0.12243 14.7205 51.8021 1.0 0.9999 130.6 2.926 -3.132 113.4 -11.37 5.705 3.98 4.512 True
1_1119295 57.9599 55.2291 7.65 6.4454 14.095400000000001 400.0688 322.62 0.99615 47.1988 42.0031 0.9931 0.883 25.71 -6.532 2.1 24.14 -0.6496 1.001 4.659 4.778 True
1_1402927 66.0789 57.1627 10.6768 8.5889 19.265700000000002 54.0307 4.965 0.17802 4.5878 39.1622 1.0 0.9996 122.4 -1.288 1.138 78.2 12.1 12.44 4.385 4.878 True
1_1653735 73.5881 27.7803 18.2297 6.7502 24.9799 7.2439 4884.6 0.99998 0.0 37.4446 1.0 -0.9741 0.2445 -0.004366 0.0 9.837 7.45 0.00832 4.232 6.978 False
1_1845069 39.385 31.4868 8.9804 4.082 13.0624 983.4086 370.1 0.99593 8.8185 78.7143 0.9946 -0.3641 3.778 -0.8734 -0.8937 35.42 9.123 -1.215 5.628 6.904 True
1_1974673 131.9332 42.5381 14.3257 4.7787 19.1044 2218.343 591.01 0.99562 0.0 76.0048 1.0 -0.5375 0.5895 0.0 0.0 26.51 8.144 0.9043 3.769 5.432 True
1_2153083 45.9954 44.1103 5.8007 4.704 10.5047 5782.8037 11.052 0.30874 27.1694 82.5027 0.9996 0.9883 104.3 4.207 8.134 87.43 2.613 29.08 5.199 5.334 True
1_2565882 55.454 48.4807 9.688 7.0839 16.771900000000002 8734.7402 293.54 0.98414 9.1357 73.754 0.9978 0.8927 8.604 0.3318 2.587 39.67 2.115 1.781 4.717 5.108 True
1_2573124 48.9726 23.2099 5.7144 4.3289 10.0433 1057.0345 111.94 0.98485 20.4029 133.9644 0.9977 -0.864 5.222 1.425 0.8014 75.51 17.33 -2.716 5.043 8.343 True
1_2622778 54.0973 25.2561 6.5414 4.3829 10.9243 578.2432 122.91 0.98848 62.0589 125.0086 0.804 -0.4714 6.524 -5.194 5.835 67.57 14.87 -3.791 4.81 7.924 True
1_2707753 62.025 46.8745 5.2183 4.4838 9.7021 1169.0049 8.4259 0.52037 60.4992 59.5558 0.9996 0.9996 207.1 -12.74 -8.89 153.9 -21.81 10.71 4.565 5.186 True
1_2775133 47.5887 46.7298 4.9743 4.5418 9.516100000000002 2236.054 166.6 0.98823 59.0234 88.6861 0.9757 -0.548 32.85 -9.838 -3.971 38.88 -37.53 -3.323 5.132 5.193 True
1_2836961 34.3643 21.9883 3.0978 3.7908 6.8886 513.4819 58.893 0.98127 37.2491 126.981 0.94 0.9634 6.414 -2.12 1.42 93.07 -14.34 2.207 6.239 9.356 True
1_2897794 42.6876 39.6919 6.9973 4.5627 11.56 11705.4463 361.11 0.99027 27.6291 71.1658 1.0 -0.4111 15.71 -9.086 0.1337 37.22 -6.658 -2.44 5.379 5.661 True
1_3040774 50.1024 42.6844 5.8512 4.6436 10.494800000000001 8.5341 2.208 0.58718 15.2449 51.1461 0.9999 0.9998 183.2 67.59 -2.855 335.3 -4.059 15.4 4.939 5.496 True
1_3230026 47.1205 41.2352 6.4284 5.6045 12.0329 628.0198 7.6854 0.43048 23.9296 50.1087 1.0 0.9994 188.8 -9.381 2.214 104.9 -15.35 14.02 5.089 5.664 True
1_3716713 31.0991 22.6573 5.7531 3.0645 8.817599999999999 6476.6489 1434.0 0.99877 56.7346 96.8595 0.3991 -0.468 9.761 2.687 5.845 38.71 23.72 1.299 6.639 9.518 True
1_3831155 26.3923 20.0513 6.7131 5.8669 12.58 2027.9794 1248.2 0.99871 37.0576 37.605 0.8539 0.1493 8.432 -5.434 -4.094 22.82 -3.29 -0.5259 7.611 9.842 False
2_167203 33.6792 28.4615 7.106 3.123 10.229 20.9789 130.06 0.99707 28.5956 122.4566 0.5683 0.0649 5.111 1.539 -3.76 58.34 15.02 1.659 6.251 7.34 True
2_718185 35.0243 34.6577 7.7954 6.8989 14.6943 6770.9917 883.35 0.99646 30.4061 49.3247 0.8998 -0.8554 13.25 -6.616 6.355 27.61 -1.707 0.8347 6.079 6.123 True
2_889533 92.2178 61.5389 8.5134 6.63 15.1434 238.4799 6.0101 0.11198 16.7895 62.1962 0.9999 0.9991 130.2 2.137 -3.946 115.0 -7.056 -13.79 4.037 4.579 True
2_984862 71.178 51.9736 6.025 5.25 11.275 293.1892 6.172 0.45295 47.9062 27.9389 0.9994 1.0 217.1 2.603 -11.65 127.6 6.913 1.151 4.337 4.925 True
2_1009944 54.7307 42.6557 4.4535 3.8526 8.3061 5764.0298 18.087 0.76437 38.8708 78.1809 0.9999 0.9997 233.1 1.05 4.96 103.6 -3.036 9.318 4.809 5.465 True
2_1218054 77.4469 67.1785 13.1121 10.395 23.5071 97.9668 6.6827 0.13527 0.0 17.9567 1.0 1.0 95.1 -7.238 -0.0 40.66 -4.811 -0.1945 4.168 4.628 True
2_1328733 47.4176 45.1475 6.0145 4.7349 10.7494 5.3028 502.38 0.99998 19.5945 53.9648 0.984 -0.8701 11.32 -1.754 6.824 27.16 -14.81 -0.04519 5.111 5.282 True
2_1853403 33.1739 29.4157 6.7449 3.5693 10.3142 1212.3726 295.08 0.9953 24.1575 109.9049 0.8211 0.8665 6.931 1.493 1.983 47.64 -24.02 1.181 6.321 6.875 True
2_2538337 58.7605 55.2609 10.8591 8.2359 19.095 2078.7148 2367.7 0.99913 16.3537 29.9999 0.998 0.8512 -2.687 3.792 2.353 14.25 3.705 0.2932 4.599 4.73 True
